category,name_nl,name_en,address,website,description_nl,description_en,latitude,longitude
Galerieën,Atelier Galerie Texel Kunst - Angelina Stiehl,Atelier Galerie Texel Kunst - Angelina Stiehl,"Sluyscoog 79, 1791 WV Den Burg, Texel",https://www.texel.net/,Atelier en galerie van Angelina Stiehl.,Studio and gallery of Angelina Stiehl.,53.0556526,4.8060633
Galerieën,De Eiland Galerij,De Eiland Galerij,"Postweg 72, 1795 JR De Cocksdorp, Texel",https://www.texel.net/nl/activiteit/keramiek-in-de-beeldentuin/?startDate=2026-08-19,Expositie keramiek in de beeldentuin.,Ceramics exhibition in the sculpture garden.,53.1120129,4.8199974
Galerieën,Wolkathedraal,Wool Cathedral,"Peperstraat 7, 1793 AA Oosterend, Texel",https://www.texel.net/nl/activiteit/wolkathedraal/?startDate=2026-08-19,Bijzondere kunstexpositie van wol in Oosterend.,Unique wool art exhibition in Oosterend.,53.0850138,4.8736891
Galerieën,Expositie Texels Landschap,Texel Landscape Exhibition,"Brink 14, 1796 AJ De Koog, Texel",https://www.texel.net/nl/activiteit/posthuys-expositie-texels-landschap/?startDate=2026-08-19,Expositie van het Texelse landschap bij Galerie Posthuys.,Exhibition of the Texel landscape at Galerie Posthuys.,53.0972392,4.7613086
Gallery-route1,01 QUUB,01 QUUB,"Kogerweg 145, 1791 MJ Den Burg, Texel",https://www.quubkunst.nl,"Geopend: wo juni/aug/sept 12.00-16.00, of op afspraak.","Open: Wed June/Aug/Sept 12:00-16:00, or by appointment.",53.0662304,4.7850184
Gallery-route1,02 ATELIER 'ET WAD,02 ATELIER 'ET WAD,"Paelwerck 9, 1791 WB Den Burg, Texel",https://www.atelieretwadtexel.nl,"Geopend: Jaarrond wo-vr 13.30-16.00, of op afspraak.","Open: Year-round Wed-Fri 13:30-16:00, or by appointment.",53.0612654,4.8018571
Gallery-route1,03 MUSEUM GALERIE RAT,03 MUSEUM GALLERY RAT,"Burgwal 20, 1791 AJ Den Burg, Texel",https://www.texel.net/,"Geopend: Jaarrond wo-za 11.00-17.00, of op afspraak.","Open: Year-round Wed-Sat 11:00-17:00, or by appointment.",53.0550153,4.7982876
Gallery-route1,04 ATELIERGALERIE DE GARAGE,04 ATELIER GALLERY DE GARAGE,"Elemert 16, 1791 DD Den Burg, Texel",https://www.ateliergaleriedegarage.nl/,Geopend: wo april-sept 11.00-16.00.,Open: Wed April-Sept 11:00-16:00.,53.051969,4.7967094
Gallery-route1,05 INA VADER,05 INA VADER,"Warmoesstraat 52, 1791 CS Den Burg, Texel",https://www.inavader.nl,"Geopend: wo 11.00-16.00, of op afspraak.","Open: Wed 11:00-16:00, or by appointment.",53.053279,4.7989449
Gallery-route1,06 ZOUT,06 ZOUT,"Parkstraat 32-34, 1791 BA Den Burg, Texel",https://www.zouttexel.nl,Geopend: wo april-sept vanaf 12.00. Kunst-etage dagelijks open tijdens openingstijden Public Grill.,Open: Wed April-Sept from 12:00. Art floor open daily during Public Grill opening hours.,53.0538723,4.7987451
Gallery-route1,07 MARGOT BIK,07 MARGOT BIK,"Wilhelminalaan 23, 1791 AL Den Burg, Texel",https://www.bikart.nl,Geopend: wo april-sept 10.30-13.30.,Open: Wed April-Sept 10:30-13:30.,53.0536432,4.8021295
boet,Boetje van Klemat,Boetje van Klemat,"Stolpweg 20a, 1797 AV Den Hoorn, Texel",https://boetjevanklemat.nl/,Expositieruimte voor kunstinstallaties.,Exhibition space for art installations.,53.0200623,4.7557992
vogelkijkpunt,Vogelkijkscherm Dorpzicht,Dorpzicht Bird Hide,"Hoofdweg 130, 1795 LG De Cocksdorp, Texel",https://vogelkijkhut.nl/view/677/,Vogelkijkhut voor het spotten van lokale weidevogels.,Bird watching hide for spotting local birds.,53.1426663,4.8800564
boet,Schapenboet Hoornderweg,Schapenboet Hoornderweg,"Hoornderweg 42, 1797 RA Den Hoorn Texel",https://www.monumentenoptexel.nl/monument/hoornderweg-42-den-hoorn/,Karakteristieke Texelse schapenboet aan de Hoornderweg. Een gemeentelijk monument met de typische schuine zijde naar het zuidwesten.,Characteristic Texel sheep barn on Hoornderweg. A municipal monument featuring the traditional slanted side facing southwest.,53.0284202,4.7675162
boet,Schapenboet Zuid Haffel,Schapenboet Zuid Haffel,"Zuid Haffel 21, 1791 LD Den Burg",https://www.monumentenoptexel.nl/monument/zuid-haffel-21-den-burg/,Historische schapenboet aan het schilderachtige cultuurlandschap van Zuid Haffel. Gemeentelijk monument.,Historical sheep barn located in the picturesque cultural landscape of Zuid Haffel. Municipal monument.,53.0380376,4.7971864
boet,Schapenboet Herenstraat,Schapenboet Herenstraat,"Herenstraat 47, 1797 AG Den Hoorn Texel",https://www.monumentenoptexel.nl/monument/herenstraat-47-den-hoorn/,Authentieke Texelse boet nabij Den Hoorn. Gemeentelijk monument en belangrijk onderdeel van het agrarisch erfgoed.,Authentic Texel barn near Den Hoorn. Municipal monument and an important part of the island's agricultural heritage.,53.0245364,4.7498071
boet,Schapenboet Westerweg,Schapenboet Westerweg,"Westerweg 86, 1797 RH Den Hoorn Texel",https://www.monumentenoptexel.nl/monument/westerweg-86-den-hoorn/,Traditionele schapenboet langs de Westerweg. Gemeentelijk monument met een platte achterkant gericht op de noordoostenwind.,Traditional sheep barn along Westerweg. Municipal monument designed with its flat back facing the northeast wind.,53.0392904,4.7493457
boet,De Vermaningsboet,De Vermaningsboet,"Oosterenderweg 8A, 1793 ED De Waal",https://www.monumentenoptexel.nl/monument/oosterenderweg-8-de-waal/,"Bijzondere schapenboet nabij De Waal, aangeduid als rijksmonument. Rijk aan historie en lokaal Texels karakter.","Unique sheep barn near De Waal, registered as a national monument. Rich in history and local Texel character.",53.0716479,4.8295927
boet,Schapenboet Skillepaadje,Schapenboet Skillepaadje,"Skillepaadje 10, 1791 LM Den Burg",https://www.monumentenoptexel.nl/monument/skillepaadje-10-den-burg/,Prachtige schapenboet langs het historische Skillepaadje bij Oudeschild. Officieel Rijksmonument.,Beautiful sheep barn along the historic Skillepaadje near Oudeschild. Official national monument.,53.0429544,4.8273878
boet,"Boetje, Den Hoorn","Boetje, Den Hoorn","Watermolenweg 10, 1797 SC Den Hoorn Texel",,Boet met panoramisch uitzicht,,53.0124048,4.7645006
boet,Jan Wuis boetstuk,Jan Wuis boetstuk,"Mosselweg 4, 1794 GS Oosterend",https://www.monumentenoptexel.nl/monument/mosselweg-4-oost/,"Tussen Oost en Oosterend staat een schapenboet als een baken in het land, vlak bij het in 2008 door de Agrarische Natuurvereniging De Lieuw in ere herstelde groene weggetje vanaf Zevenhuizen naar Oost bij Oosterend.",,53.0919691,4.8910922
boet,De Lage Boe,De Lage Boe,"Tienhoven 8, 1793 EC De Waal",https://www.monumentenoptexel.nl/monument/tienhoven-8-de-waal/,"De naam van deze schapenboet is:’De Lage Boe’. De boet werd in 2012, onder toezicht van Stichting Dorpsherstel Texel, gerestaureerd. Grotendeels werd dit gefinancierd door het Waddenfonds.",,53.0657513,4.8128935
boet,Schapenboet De Ruimte,Schapenboet De Ruimte,"Westerweg 42A, 1797 RG Den Hoorn Texel",https://www.monumentenoptexel.nl/monument/westerweg-42a-den-hoorn/,"Bij boerderij Op Ruimte, ooit De Ruimte genoemd. Er is een rekening van een timmerman gevonden uit 1691, waarin hij fl. 22,- declareert voor werkzaamheden aan de hoeve.",,53.0503354,4.7615288
boet,Dirk Bakkers Boet,,"Pontweg 79, 1791 LA Den Burg",https://www.monumentenoptexel.nl/monument/pontweg-79-den-burg/,Deze schapenboet is eigendom van de Stichting tot Steun aan de Vereniging “Het Groene Kruis Texel” en werd in 2012 met steun van het Waddenfonds en de Provincie Noord-Holland gerestaureerd door Stichting Dorpsherstel Texel.,,53.0435344,4.7974622
boet,De Leemkuil,,"Leemkuil 2, 1791 LC Den Burg",https://www.monumentenoptexel.nl/monument/leemkuil-2-den-burg/,"Is in eigendom van Staatsbosbeheer. De Leemkuilweg is genoemd naar de kuil waar leem aan de oppervlakte kwam. Er is helaas niets meer van te zien, want de kuil is tijdens de ruilverkaveling in de jaren vijftig geëgaliseerd.",,53.0435112,4.8000985
boet,het Vlakkie,,"Molwerk 1, 1797 SE Den Hoorn Texel",https://www.monumentenoptexel.nl/monument/molwerk-1-den-hoorn/,"Molwerk 1 lijkt misschien op een Texelse schapenboet, maar is dat volgens de kenners niet. Deze boet wordt “het Vlakkie” genoemd. Het is een zogenaamde ‘keet’, een schuurtje dat door duinboeren in en bij de ‘vlakken’ bouwden.",,53.0127017,4.750117
boet,Schapenmuseum Texel,,"Hoornderweg 29, 1791 PM Den Burg",http://www.schapenmuseum.nl/,,,53.033315,4.7882541
kijkboet,Kijk Muy,,,https://texel.de/nl/uitkijkpunt/10164/uitkijkpunt-de-muy.html,Naast parkeerplaats de Muy,,53.119144,4.803365
kijkboet,Kijk Eierlandse duinen,,,https://texel.de/nl/natuur/10088/eijerlandse-duinen.html,Langs een fietspad,,53.166982,4.846563
kijkboet,Kijk Slufter,,,https://texel.de/nl/uitkijkpunt/10064/uitkijkpunt-de-slufter.html,"Langs een fietspad, bij de golfbaan",,53.144401,4.838592
kijkboet,Kijk Post,,,https://texel.de/nl/uitkijkpunt/10125/kijkpost-diepe-gat.html,"Langs een wandelpad, bij Postweg/Hollandseweg",,53.146915,4.861752
